name,agents_average_initial_opinion,technology_success_rate,k_S->Q,k_S->L,k_Q->L,k_Q->B,k_L->Q,k_L->B,k_B->S
2_5_7,-0.5,0.7,0.10104539977671134,0.10104539977671134,0.0,0.0,0.0,0.0,0.0
2_5_8,-0.5,0.8,0.10104539977671134,0.10104539977671134,0.0,0.0,0.0,0.0,0.0
2_5_9,-0.5,0.9,0.10104539977671134,0.10104539977671134,0.0,0.0,0.0,0.0,0.0
2_5_10,-0.5,1.0,0.10104539977671134,0.10104539977671134,0.0,0.0,0.0,0.0,0.0
2_6_0,-0.4,0.0,0.13703571804796016,0.2182934677926619,0.02708591658156697,0.1837225447726668,0.0,0.0,0.0
2_6_1,-0.4,0.1,0.13703571804796016,0.2182934677926619,0.02708591658156697,0.1837225447726668,0.0,0.0,0.0
2_6_2,-0.4,0.2,0.08398882965074865,0.16562599020070107,0.027760815981702693,0.14550475121812076,0.0,0.0,0.0
2_6_3,-0.4,0.3,0.0608269321702522,0.14095149176137775,0.028273789896183264,0.12083125344584869,0.0,0.0,0.0
2_6_4,-0.4,0.4,0.0608269321702522,0.14095149176137775,0.028273789896183264,0.12083125344584869,0.0,0.0,0.0
2_6_5,-0.4,0.5,0.06042802307927086,0.12486957608559585,0.029179899751676838,0.1101786903302646,0.0,0.0,0.0
2_6_6,-0.4,0.6,0.0129491697990441,0.05336459048132618,0.030755888838429078,0.09565807401228509,0.0,0.0,0.0
2_6_7,-0.4,0.7,0.007108904960746084,0.023737355075720216,0.032723348609187526,0.09648215765500982,0.0,0.0,0.0
2_6_8,-0.4,0.8,0.0985593696777265,0.0,0.06956808472935232,0.0468728280290842,0.0,0.0026956923270827,0.0011854317376024663
2_6_9,-0.4,0.9,0.12324247670824452,0.010784576128918897,0.10289495587061036,0.02059908169737856,0.0,0.0,0.0
2_6_10,-0.4,1.0,0.17455935816297943,0.027053496823021484,0.16574094536644662,0.04651035337344554,0.0,0.0,0.0
2_7_0,-0.3,0.0,0.16597790749831018,0.26648362525104563,0.05551660039084661,0.8704362635863392,0.0,0.0,0.0
2_7_1,-0.3,0.1,0.12194853374565896,0.22381945068940215,0.06569184456079517,0.8006614381808166,0.0,0.0,0.0
2_7_2,-0.3,0.2,0.09649756204345376,0.19710504041726895,0.10056878609729282,0.5791436600850439,0.0,0.0,0.0
2_7_3,-0.3,0.3,0.04929584467327849,0.12907293096822955,0.13215733572404817,0.4243030925754175,0.0,0.0,0.0
2_7_4,-0.3,0.4,0.03474737131559964,0.09835207483855617,0.13977487128557636,0.4173354529060462,0.0,0.0,0.0
2_7_5,-0.3,0.5,0.03815212108897595,0.11070264502113308,0.14013791816603322,0.3924380390299833,0.0,0.0,0.0
2_7_6,-0.3,0.6,0.023684802941230522,0.05561589638396229,0.1746717785677291,0.3059535194457779,0.0,0.0,0.0
2_7_7,-0.3,0.7,0.021324824323740773,0.033676642321813624,0.1983790697366221,0.253023128013771,0.0,0.0,0.0
2_7_8,-0.3,0.8,0.040161761303409406,0.0,0.13956403082035854,0.01670217643569393,0.0,0.0,0.0
2_7_9,-0.3,0.9,0.1312547140676525,0.0,0.1730736323897656,0.0012067361992345218,0.0,0.0,0.00032275721118037057
2_7_10,-0.3,1.0,0.16910001790445106,0.0,0.24893413349013233,0.0,0.0,0.0008784308996450157,0.0021994258046937154
2_8_0,-0.2,0.0,0.17745844125862636,0.15315447787892075,0.04963815274295834,1.0068128277068473,0.0024141027180790415,0.07362882115106806,0.0
2_8_1,-0.2,0.1,0.11125591473791506,0.10009252016000822,0.0852504168775229,0.8682530197223721,0.0010625896880219565,0.060230969449603856,0.0
2_8_2,-0.2,0.2,0.09698109744988789,0.09167048289926523,0.10256006450727924,0.7987827689639633,0.0005991908202635348,0.05355559265051422,0.0
2_8_3,-0.2,0.3,0.07818498942635206,0.09535872344737939,0.19384738138787988,0.42993940736655173,0.0,0.018160925075282178,0.0
2_8_4,-0.2,0.4,0.05630912017931123,0.08224213912351176,0.07221877179911147,0.4446409944991694,0.00023898265816626535,0.0,0.0
2_8_5,-0.2,0.5,0.06539372440578649,0.04638062369389962,0.14528268699213653,0.31914293503954694,0.0,0.0,0.0
2_8_6,-0.2,0.6,0.03199147572775124,0.028124775617075395,0.0,0.35373326500164737,0.015979632849234423,0.0,0.0
2_8_7,-0.2,0.7,0.05153636033130978,0.0,0.014922410481126438,0.22145352711818278,0.025544549558579703,0.0,0.0
2_8_8,-0.2,0.8,0.04938488907361549,0.0,0.06599880653705509,0.0,0.0,0.0023613358549160655,0.006033737728381192
2_8_9,-0.2,0.9,0.12083295798728132,0.0,0.1244997468798873,0.0,0.0,0.0017898612686876821,0.012734285570337905
2_8_10,-0.2,1.0,0.21841354973184193,0.0,0.22784688867761405,0.0,0.0,0.0024580401063813875,0.015072791245531505
2_9_0,-0.1,0.0,0.2665187754614788,0.03856420350555767,0.0,1.315299098928553,0.1992115453813706,0.337199212703977,0.0
2_9_1,-0.1,0.1,0.1838608065570983,0.06369037419288756,0.0,1.0725674177110986,0.15137677539218142,0.27852452117252097,0.0
2_9_2,-0.1,0.2,0.15414050698900736,0.05864127488212066,0.0,0.9565102935088807,0.1845485892576268,0.16939780454393588,0.0
2_9_3,-0.1,0.3,0.09921682376303916,0.029219027535343906,0.0,0.7605046452021234,0.21148173371432422,0.12001821268861113,0.0
2_9_4,-0.1,0.4,0.10150618335803602,0.006341733282656305,0.0,0.6395923476027453,0.2649072858195924,0.01690633106004989,0.0
2_9_5,-0.1,0.5,0.07411293484845437,0.01296102664619964,0.0,0.47984140289794985,0.28870412515433386,0.0,0.0
2_9_6,-0.1,0.6,0.036091137297841434,0.00821891931936728,0.0,0.3486464660593759,0.24633810512623444,0.0,0.0
2_9_7,-0.1,0.7,0.009288090240313632,0.007041690286537475,0.002412898289388888,0.11542688551870413,0.3981670119878615,0.0,0.0
2_9_8,-0.1,0.8,0.10025839022444331,0.0,0.08149464042449148,0.029880711615207754,0.005712236436522962,0.0014533197017935636,0.015702118686296687
2_9_9,-0.1,0.9,0.3138357078618353,0.0,0.12449543902449851,0.0,0.0,0.0,0.0013791488638975314
2_9_10,-0.1,1.0,0.4709898501567058,0.0,0.22439754457795122,0.0,0.0,0.0,0.0016178371374424667
2_10_0,0.0,0.0,0.20003645319732677,0.049057581389410035,0.0,1.0503973561110156,0.6274214504993544,0.0,0.0
2_10_1,0.0,0.1,0.1284430809436954,0.025578471053181555,0.0,0.8400396540003394,0.594000117866387,0.0,0.0
2_10_2,0.0,0.2,0.16099166567974216,0.008228194282179168,0.0,0.809434130042714,0.6210084477673901,0.0,0.0
2_10_3,0.0,0.3,0.05902977312964727,0.033910310253460495,0.0,0.5477932792342166,0.6955424585198592,0.0,0.0
2_10_4,0.0,0.4,0.031875002588123244,0.063260445219503,0.006209875636128098,0.39597911818363113,0.7432070373169118,0.0,0.0
2_10_5,0.0,0.5,0.05699917627216533,0.0013092892370944777,0.07457271318037993,0.28800943180304417,0.7045420153921802,0.0,0.0
2_10_6,0.0,0.6,0.019648283807462575,0.006156027624030744,0.10788015571246304,0.171823073751095,0.7832021534524665,0.0,0.0
2_10_7,0.0,0.7,0.0,0.030680955968980676,0.08576694243493235,0.03590838660893823,0.24598650295812435,0.1689653040948392,0.0
2_10_8,0.0,0.8,0.08751074705117817,0.0,0.0753010700965421,0.011388757836594526,0.0,0.0009885278375628258,0.013422351601028478
2_10_9,0.0,0.9,0.24737185540981507,0.0,0.19152957548736185,0.0,0.0,0.0005844106527673753,0.019330229369097278
2_10_10,0.0,1.0,0.42304675783435114,0.0,0.2753731369188885,0.0,0.0,0.0010356838378129242,0.02660277833601277
2_11_0,0.1,0.0,0.011610264532300962,0.10831351569647392,0.05603126317765636,0.5846084833114149,0.788634005774519,0.0,0.0
2_11_1,0.1,0.1,0.0115085938818993,0.06832445247791068,0.17068035794042977,0.4690892656018787,0.9016551277087886,0.0,0.0
2_11_2,0.1,0.2,0.07933524250923776,0.012171327120577387,0.21251696757453303,0.4613277344295035,0.858186130772131,0.0,0.0
2_11_3,0.1,0.3,0.0,0.03789216010825537,0.08561260930448727,0.3642565760757115,0.7632254735998166,0.0,0.0
2_11_4,0.1,0.4,0.0,0.01679125007721578,0.11017614082558191,0.22911853536151208,0.7487492339045392,0.0,0.0
2_11_5,0.1,0.5,0.02031864886483977,0.0,0.16596340020817127,0.1765867396158304,0.814567345512144,0.0,0.0
2_11_6,0.1,0.6,0.007233478099907567,0.0,0.14103298971578562,0.10578844499751916,0.5283260636902578,0.0,0.0
2_11_7,0.1,0.7,0.03212218822381394,0.0,0.05925548537551679,0.05854476654066391,0.12361607677324099,0.0,0.0
2_11_8,0.1,0.8,0.05859884915306901,0.0,0.09604739714836928,0.0,0.0,0.001982359873837196,0.026210008657530807
2_11_9,0.1,0.9,0.12251258858218299,0.10148065844937108,0.1397956117304382,0.0,0.0,9.047125771158823e-05,0.00945471038325965
2_11_10,0.1,1.0,0.3718711318092772,0.0,0.24483740518875838,0.0,0.0,0.0,0.008550524442773808
2_12_0,0.2,0.0,0.05539011048969617,0.044537832625879126,0.10364257522057102,0.5378664190957647,0.729662991615389,0.0,0.0
2_12_1,0.2,0.1,0.0,0.05306136212152255,0.0,0.4314164339854714,0.46641791138791555,0.0,0.0
2_12_2,0.2,0.2,0.03128433342723036,0.0,0.04874211078088726,0.4034972559184916,0.38021741903071476,0.0,0.0
2_12_3,0.2,0.3,0.0,0.017083469580246362,0.03944868302735912,0.2967474229109136,0.3456236910348358,0.0,0.0
2_12_4,0.2,0.4,0.00485832131566253,0.019298630809253016,0.07993799871243118,0.2149807092672295,0.3740751549712291,0.0,0.0
2_12_5,0.2,0.5,0.010489500437956356,0.00018710699090220505,0.09599627889667428,0.16666111226750538,0.31640322992646613,0.0,0.0
