name,agents_average_initial_opinion,technology_success_rate,final_adaption
4_0_6_3,-1.0,0.6,0.0
4_0_6_4,-1.0,0.6,0.0
4_0_6_5,-1.0,0.6,0.0
0_0_7_0,-1.0,0.7,0.0
0_0_7_1,-1.0,0.7,0.0
0_0_7_2,-1.0,0.7,0.0
0_0_7_3,-1.0,0.7,0.0
0_0_7_4,-1.0,0.7,0.0
0_0_7_5,-1.0,0.7,0.0
1_0_7_0,-1.0,0.7,0.0
1_0_7_1,-1.0,0.7,0.0
1_0_7_2,-1.0,0.7,0.0
1_0_7_3,-1.0,0.7,0.0
1_0_7_4,-1.0,0.7,0.0
1_0_7_5,-1.0,0.7,0.0
2_0_7_0,-1.0,0.7,0.0
2_0_7_1,-1.0,0.7,0.0
2_0_7_2,-1.0,0.7,0.0
2_0_7_3,-1.0,0.7,0.0
2_0_7_4,-1.0,0.7,0.0
2_0_7_5,-1.0,0.7,0.0
3_0_7_0,-1.0,0.7,0.0
3_0_7_1,-1.0,0.7,0.0
3_0_7_2,-1.0,0.7,0.0
3_0_7_3,-1.0,0.7,0.0
3_0_7_4,-1.0,0.7,0.0
3_0_7_5,-1.0,0.7,0.0
4_0_7_0,-1.0,0.7,0.0
4_0_7_1,-1.0,0.7,0.0
4_0_7_2,-1.0,0.7,0.0
4_0_7_3,-1.0,0.7,0.0
4_0_7_4,-1.0,0.7,0.0
4_0_7_5,-1.0,0.7,0.0
0_0_8_0,-1.0,0.8,0.0
0_0_8_1,-1.0,0.8,0.0
0_0_8_2,-1.0,0.8,0.0
0_0_8_3,-1.0,0.8,0.0
0_0_8_4,-1.0,0.8,0.0
0_0_8_5,-1.0,0.8,0.0
1_0_8_0,-1.0,0.8,0.0
1_0_8_1,-1.0,0.8,0.0
1_0_8_2,-1.0,0.8,0.0
1_0_8_3,-1.0,0.8,0.0
1_0_8_4,-1.0,0.8,0.0
1_0_8_5,-1.0,0.8,0.0
2_0_8_0,-1.0,0.8,0.0
2_0_8_1,-1.0,0.8,0.0
2_0_8_2,-1.0,0.8,0.0
2_0_8_3,-1.0,0.8,0.0
2_0_8_4,-1.0,0.8,0.0
2_0_8_5,-1.0,0.8,0.0
3_0_8_0,-1.0,0.8,0.0
3_0_8_1,-1.0,0.8,0.0
3_0_8_2,-1.0,0.8,0.0
3_0_8_3,-1.0,0.8,0.0
3_0_8_4,-1.0,0.8,0.0
3_0_8_5,-1.0,0.8,0.0
4_0_8_0,-1.0,0.8,0.0
4_0_8_1,-1.0,0.8,0.0
4_0_8_2,-1.0,0.8,0.0
4_0_8_3,-1.0,0.8,0.0
4_0_8_4,-1.0,0.8,0.0
4_0_8_5,-1.0,0.8,0.0
0_0_9_0,-1.0,0.9,0.0
0_0_9_1,-1.0,0.9,0.0
0_0_9_2,-1.0,0.9,0.0
0_0_9_3,-1.0,0.9,0.0
0_0_9_4,-1.0,0.9,0.0
0_0_9_5,-1.0,0.9,0.0
1_0_9_0,-1.0,0.9,0.0
1_0_9_1,-1.0,0.9,0.0
1_0_9_2,-1.0,0.9,0.0
1_0_9_3,-1.0,0.9,0.0
1_0_9_4,-1.0,0.9,0.0
1_0_9_5,-1.0,0.9,0.0
2_0_9_0,-1.0,0.9,0.0
2_0_9_1,-1.0,0.9,0.0
2_0_9_2,-1.0,0.9,0.0
2_0_9_3,-1.0,0.9,0.0
2_0_9_4,-1.0,0.9,0.0
2_0_9_5,-1.0,0.9,0.0
3_0_9_0,-1.0,0.9,0.0
3_0_9_1,-1.0,0.9,0.0
3_0_9_2,-1.0,0.9,0.0
3_0_9_3,-1.0,0.9,0.0
3_0_9_4,-1.0,0.9,0.0
3_0_9_5,-1.0,0.9,0.0
4_0_9_0,-1.0,0.9,0.0
4_0_9_1,-1.0,0.9,0.0
4_0_9_2,-1.0,0.9,0.0
4_0_9_3,-1.0,0.9,0.0
4_0_9_4,-1.0,0.9,0.0
4_0_9_5,-1.0,0.9,0.0
0_0_10_0,-1.0,1.0,0.0
0_0_10_1,-1.0,1.0,0.0
0_0_10_2,-1.0,1.0,0.0
0_0_10_3,-1.0,1.0,0.0
