name,agents_average_initial_opinion,technology_success_rate,final_adaption
3_6_2,-0.4,0.2,0.1093516824030642
4_6_2,-0.4,0.2,0.09415084959721674
0_6_3,-0.4,0.3,0.0069519398222372165
1_6_3,-0.4,0.3,0.0009456920830131552
2_6_3,-0.4,0.3,0.011238505352955898
3_6_3,-0.4,0.3,0.10461291745118267
4_6_3,-0.4,0.3,0.10242280914630388
0_6_4,-0.4,0.4,0.0018201575890694863
1_6_4,-0.4,0.4,0.005945767125646958
2_6_4,-0.4,0.4,0.005752809952722444
3_6_4,-0.4,0.4,0.09923131769448723
4_6_4,-0.4,0.4,0.10661846125025251
0_6_5,-0.4,0.5,0.0018721039128399707
1_6_5,-0.4,0.5,0.003941349280051526
2_6_5,-0.4,0.5,0.007584912569969032
3_6_5,-0.4,0.5,0.09546171513418729
4_6_5,-0.4,0.5,0.10580344769777307
0_6_6,-0.4,0.6,0.0011756141774245546
1_6_6,-0.4,0.6,0.013482040643827607
2_6_6,-0.4,0.6,0.004439444770268195
3_6_6,-0.4,0.6,0.09811197095443086
4_6_6,-0.4,0.6,0.0646643184615891
0_6_7,-0.4,0.7,0.030078120030860283
1_6_7,-0.4,0.7,0.024365119706060853
2_6_7,-0.4,0.7,0.02915509046052374
3_6_7,-0.4,0.7,0.048664239904432936
4_6_7,-0.4,0.7,0.017983054610409943
0_6_8,-0.4,0.8,0.23633517984633667
1_6_8,-0.4,0.8,0.20960632878189012
2_6_8,-0.4,0.8,0.04955225953934167
3_6_8,-0.4,0.8,0.14057469428241723
4_6_8,-0.4,0.8,0.2500047007434153
0_6_9,-0.4,0.9,0.3070906290007207
1_6_9,-0.4,0.9,0.1990476657480214
2_6_9,-0.4,0.9,0.12227736221650636
3_6_9,-0.4,0.9,0.29580380018921315
4_6_9,-0.4,0.9,0.28852833125210897
0_6_10,-0.4,1.0,0.3273807706576663
1_6_10,-0.4,1.0,0.18428724419702058
2_6_10,-0.4,1.0,0.1242045719123149
3_6_10,-0.4,1.0,0.28004290839431684
4_6_10,-0.4,1.0,0.2749363948710954
0_7_0,-0.3,0.0,0.000195523925058231
1_7_0,-0.3,0.0,5.594650240524368e-07
2_7_0,-0.3,0.0,3.454546121546529e-06
3_7_0,-0.3,0.0,0.0755801852303222
4_7_0,-0.3,0.0,0.07351421771153371
0_7_1,-0.3,0.1,1.5017876170906717e-05
1_7_1,-0.3,0.1,2.9338509185300864e-06
2_7_1,-0.3,0.1,2.6302937703708562e-05
3_7_1,-0.3,0.1,0.08159028868756969
4_7_1,-0.3,0.1,0.07724673138152688
0_7_2,-0.3,0.2,5.402973313169766e-05
1_7_2,-0.3,0.2,0.00033758104127396655
2_7_2,-0.3,0.2,5.742710157652758e-06
3_7_2,-0.3,0.2,0.0967252824530246
4_7_2,-0.3,0.2,0.06831178860457349
0_7_3,-0.3,0.3,0.06862904178728998
1_7_3,-0.3,0.3,2.687605349766896e-08
2_7_3,-0.3,0.3,7.571600902044865e-05
3_7_3,-0.3,0.3,0.08563037282596277
4_7_3,-0.3,0.3,0.04555127526095441
0_7_4,-0.3,0.4,0.03730018646715259
1_7_4,-0.3,0.4,0.0009658389122427776
2_7_4,-0.3,0.4,0.0010556845159429725
3_7_4,-0.3,0.4,0.04563261152578531
4_7_4,-0.3,0.4,0.03819236358945619
0_7_5,-0.3,0.5,0.009056830799013389
1_7_5,-0.3,0.5,0.0031286222299395173
2_7_5,-0.3,0.5,0.003526689286062672
3_7_5,-0.3,0.5,0.060198320103805145
4_7_5,-0.3,0.5,0.07052294641198223
0_7_6,-0.3,0.6,0.0678550458251336
1_7_6,-0.3,0.6,0.0013674719653702153
2_7_6,-0.3,0.6,0.0028133433371504476
3_7_6,-0.3,0.6,0.01920932371635439
4_7_6,-0.3,0.6,0.10850985323276978
0_7_7,-0.3,0.7,0.04069878929817164
1_7_7,-0.3,0.7,0.05448593146140682
2_7_7,-0.3,0.7,0.004599590374617676
3_7_7,-0.3,0.7,0.019472786928551686
4_7_7,-0.3,0.7,0.020150314261680694
0_7_8,-0.3,0.8,0.3878612175584361
1_7_8,-0.3,0.8,0.25852422271599984
2_7_8,-0.3,0.8,0.2442050486033861
3_7_8,-0.3,0.8,0.3905171996258798
4_7_8,-0.3,0.8,0.3330430259281237
0_7_9,-0.3,0.9,0.4009700148982258
1_7_9,-0.3,0.9,0.3145119958486963
2_7_9,-0.3,0.9,0.34895171557217003
3_7_9,-0.3,0.9,0.3905200761386818
4_7_9,-0.3,0.9,0.42743111032730147
0_7_10,-0.3,1.0,0.43843586886876307
1_7_10,-0.3,1.0,0.3846729517279803
2_7_10,-0.3,1.0,0.3807594265286014
3_7_10,-0.3,1.0,0.4226480065365209
4_7_10,-0.3,1.0,0.5284620733376748
0_8_0,-0.2,0.0,3.2818184027739024e-06
1_8_0,-0.2,0.0,2.0655641508934905e-06
2_8_0,-0.2,0.0,5.164661059698085e-06
3_8_0,-0.2,0.0,0.011481097678457904
4_8_0,-0.2,0.0,0.0077928170204329605
0_8_1,-0.2,0.1,7.951456645609681e-08
1_8_1,-0.2,0.1,4.519608437734625e-07
2_8_1,-0.2,0.1,1.981562307524288e-06
3_8_1,-0.2,0.1,0.04606426999432407
4_8_1,-0.2,0.1,0.0178807428622765
0_8_2,-0.2,0.2,1.4328645810249327e-06
1_8_2,-0.2,0.2,4.953200808448569e-07
2_8_2,-0.2,0.2,4.446159544206478e-06
3_8_2,-0.2,0.2,0.015422293944882499
4_8_2,-0.2,0.2,0.0004944896611952369
0_8_3,-0.2,0.3,0.0021373691410594537
1_8_3,-0.2,0.3,1.5262941207546518e-08
2_8_3,-0.2,0.3,7.497565434358955e-07
3_8_3,-0.2,0.3,0.008814812053308198
4_8_3,-0.2,0.3,0.0009443836648967103
0_8_4,-0.2,0.4,0.002801329428759863
1_8_4,-0.2,0.4,4.509837130335894e-06
2_8_4,-0.2,0.4,2.4272178435316884e-06
3_8_4,-0.2,0.4,0.0028121236792518827
4_8_4,-0.2,0.4,0.008102269662274167
0_8_5,-0.2,0.5,4.07468253452735e-05
1_8_5,-0.2,0.5,0.0003383382026015086
2_8_5,-0.2,0.5,0.002312799342074989
3_8_5,-0.2,0.5,0.0038279524606852524
4_8_5,-0.2,0.5,0.0101890369216056
0_8_6,-0.2,0.6,0.004396632871243276
1_8_6,-0.2,0.6,0.0009230856894298547
2_8_6,-0.2,0.6,0.004260988717901699
3_8_6,-0.2,0.6,0.010534194601677642
4_8_6,-0.2,0.6,0.0003317478037943814
0_8_7,-0.2,0.7,0.0365812377479519
1_8_7,-0.2,0.7,0.04349503130641274
2_8_7,-0.2,0.7,0.03936668815877032
3_8_7,-0.2,0.7,0.03453804313453372
4_8_7,-0.2,0.7,0.028344332062616974
0_8_8,-0.2,0.8,0.42619383114447157
1_8_8,-0.2,0.8,0.2799645804796714
2_8_8,-0.2,0.8,0.2718673066975251
3_8_8,-0.2,0.8,0.5005211803051208
4_8_8,-0.2,0.8,0.4401943607198184
0_8_9,-0.2,0.9,0.5749867921634685
1_8_9,-0.2,0.9,0.3416836319462261
2_8_9,-0.2,0.9,0.4974092408874157
3_8_9,-0.2,0.9,0.528084550783013
4_8_9,-0.2,0.9,0.5932936866306382
0_8_10,-0.2,1.0,0.5802203598416268
1_8_10,-0.2,1.0,0.5060280939167092
2_8_10,-0.2,1.0,0.4899285335207161
3_8_10,-0.2,1.0,0.5598599578999297
4_8_10,-0.2,1.0,0.6283406645868931
0_9_0,-0.1,0.0,4.172453427058026e-15
1_9_0,-0.1,0.0,2.9040022110311803e-09
2_9_0,-0.1,0.0,1.2382385439730878e-06
3_9_0,-0.1,0.0,0.004599082722836546
4_9_0,-0.1,0.0,0.0011178745863398413
0_9_1,-0.1,0.1,6.922337191392684e-10
1_9_1,-0.1,0.1,2.966921083310886e-07
2_9_1,-0.1,0.1,1.3970279646958976e-05
3_9_1,-0.1,0.1,0.005052143571836263
4_9_1,-0.1,0.1,0.016115886379585335
0_9_2,-0.1,0.2,2.193493245042374e-09
1_9_2,-0.1,0.2,0.0004161182256331466
2_9_2,-0.1,0.2,7.911799231724038e-05
3_9_2,-0.1,0.2,0.00014297324315755042
4_9_2,-0.1,0.2,0.003241500597069808
0_9_3,-0.1,0.3,2.6589422480184126e-05
1_9_3,-0.1,0.3,1.2800161647450791e-09
2_9_3,-0.1,0.3,5.93354987272124e-06
3_9_3,-0.1,0.3,3.1652621569730535e-05
4_9_3,-0.1,0.3,0.006558409698379748
0_9_4,-0.1,0.4,7.731073924209919e-05
1_9_4,-0.1,0.4,0.00011365862011599671
2_9_4,-0.1,0.4,4.770210915116207e-05
3_9_4,-0.1,0.4,0.03472614864973525
4_9_4,-0.1,0.4,0.004102824102659753
0_9_5,-0.1,0.5,3.924719451401503e-05
1_9_5,-0.1,0.5,0.00178155285799155
2_9_5,-0.1,0.5,0.00013911670758593136
3_9_5,-0.1,0.5,0.0027878024255494974
4_9_5,-0.1,0.5,1.7831682430940004e-05
0_9_6,-0.1,0.6,0.001977376454746196
1_9_6,-0.1,0.6,0.004845286426570207
2_9_6,-0.1,0.6,0.002513488257756074
3_9_6,-0.1,0.6,0.0014326237059476981
4_9_6,-0.1,0.6,0.00370570147245241
0_9_7,-0.1,0.7,0.02988676700274818
1_9_7,-0.1,0.7,0.04437235270549412
2_9_7,-0.1,0.7,0.02697555303460597
3_9_7,-0.1,0.7,0.16466820697707632
4_9_7,-0.1,0.7,0.02577289227328426
0_9_8,-0.1,0.8,0.6289001220049981
1_9_8,-0.1,0.8,0.5130881916512879
2_9_8,-0.1,0.8,0.4963049949244335
3_9_8,-0.1,0.8,0.5960961633715387
4_9_8,-0.1,0.8,0.6677020189780818
0_9_9,-0.1,0.9,0.7312596956962648
1_9_9,-0.1,0.9,0.6071804390472286
2_9_9,-0.1,0.9,0.6250618372597868
3_9_9,-0.1,0.9,0.6197624400915189
4_9_9,-0.1,0.9,0.6569960285337673
0_9_10,-0.1,1.0,0.7410631991093707
1_9_10,-0.1,1.0,0.7330555038530817
2_9_10,-0.1,1.0,0.6640848569712149
3_9_10,-0.1,1.0,0.6538042821267783
4_9_10,-0.1,1.0,0.7140523586915318
0_10_0,0.0,0.0,2.6323488763826914e-11
1_10_0,0.0,0.0,3.943686388224281e-14
2_10_0,0.0,0.0,1.0826802680708491e-12
3_10_0,0.0,0.0,7.721222807130291e-07
4_10_0,0.0,0.0,3.5578086722468853e-06
0_10_1,0.0,0.1,2.580795819525063e-07
1_10_1,0.0,0.1,4.679529282429816e-11
2_10_1,0.0,0.1,3.852155958624208e-11
3_10_1,0.0,0.1,2.841007941640476e-06
4_10_1,0.0,0.1,1.182855849892701e-05
0_10_2,0.0,0.2,2.1253303870396963e-10
1_10_2,0.0,0.2,9.198775065968533e-12
2_10_2,0.0,0.2,2.9506918562863853e-12
3_10_2,0.0,0.2,1.391637346986345e-07
